ensgene,BDNF_1h,BDNF_2h,BDNF_6h,CONTROL_1h,CONTROL_2h,CONTROL_6h
ENSG00000227232,19,8,12,12,12,17
ENSG00000278267,15,11,25,25,10,15
ENSG00000268903,28,18,33,21,23,30
ENSG00000269981,44,29,61,38,40,58
ENSG00000241860,9,14,10,6,9,12
ENSG00000279457,53,49,69,76,49,68
ENSG00000228463,48,40,48,47,50,36
ENSG00000237094,80,93,108,63,77,75
ENSG00000230021,23,19,25,35,20,20
ENSG00000225630,352,381,402,309,332,349
ENSG00000237973,718,719,794,660,681,832
ENSG00000229344,27,32,28,18,20,23
ENSG00000248527,4588,5376,6759,4303,5511,4989
ENSG00000198744,21,14,19,12,10,13
ENSG00000228327,131,117,120,133,100,139
ENSG00000237491,28,16,17,26,22,28
ENSG00000230092,17,8,14,11,11,8
ENSG00000228794,1666,1741,1558,1678,1646,1466
ENSG00000225880,34,42,36,40,43,28
ENSG00000288531,17,5,15,9,9,12
ENSG00000272438,24,27,44,26,31,31
ENSG00000230699,114,125,144,123,124,92
ENSG00000223764,350,299,356,293,318,330
ENSG00000187634,373,284,364,361,317,310
ENSG00000188976,2438,2385,2881,2409,2421,2547
ENSG00000187961,567,508,631,581,559,578
ENSG00000187583,6,8,12,14,11,12
ENSG00000272512,79,88,88,69,50,77
ENSG00000188290,463,426,470,492,437,422
ENSG00000187608,23,19,25,21,23,23
ENSG00000188157,5648,5432,6995,5814,5671,5952
ENSG00000217801,120,139,146,98,80,86
ENSG00000131591,335,310,333,329,272,313
ENSG00000078808,1727,1709,2161,1703,1626,1947
ENSG00000176022,615,529,614,594,595,549
ENSG00000184163,10,14,17,10,3,8
ENSG00000160087,835,756,742,803,709,679
ENSG00000230415,16,27,28,17,17,23
ENSG00000162572,151,160,227,168,154,199
ENSG00000131584,7757,7777,10442,8234,7408,8832
ENSG00000169972,201,198,228,217,207,186
ENSG00000127054,1410,1362,1817,1395,1259,1452
ENSG00000240731,72,78,71,75,53,61
ENSG00000224051,389,345,365,375,362,349
ENSG00000169962,26,20,20,16,22,25
ENSG00000107404,1194,1183,1290,1178,1176,1092
ENSG00000162576,52,39,43,51,44,38
ENSG00000175756,893,903,964,808,856,1010
ENSG00000221978,5897,5692,7093,5905,5520,6530
ENSG00000224870,466,457,469,435,466,419
ENSG00000242485,655,595,675,618,585,564
ENSG00000272455,63,62,77,67,66,57
ENSG00000235098,14,15,14,17,14,20
ENSG00000179403,134,100,150,124,114,132
ENSG00000160072,466,487,665,533,484,533
ENSG00000197785,396,422,432,451,368,415
ENSG00000205090,237,232,258,249,209,236
ENSG00000160075,2131,2061,2177,2095,2077,1944
ENSG00000215014,29,41,44,42,44,47
ENSG00000228594,443,419,420,405,404,375
ENSG00000286989,69,79,112,111,86,94
ENSG00000272106,543,545,519,528,595,509
ENSG00000197530,1208,1168,1427,1097,1045,1179
ENSG00000248333,868,903,876,826,857,852
ENSG00000189339,4387,4356,4677,4411,4526,4313
ENSG00000008128,48,41,54,36,35,33
ENSG00000268575,242,266,304,264,233,240
ENSG00000215790,2146,2159,2382,2208,2334,2258
ENSG00000008130,620,588,655,623,644,573
ENSG00000078369,19625,19340,21905,19561,20239,19223
ENSG00000231050,30,26,19,36,31,34
ENSG00000187730,18,20,27,23,16,22
