v1,log_fc,ave_expr,t,p_value,adj_p_val,b,comparison,name,target,de
O60613,0.742841944398283,-0.136218587538568,1.45062510004753,0.195119049364786,0.996386806613002,-4.5755736677916,OnlyComparison,SELENOF,ENSG00000183291,not sig
Q3ZCM7,0.729951783342628,-1.30443026336448,4.00168850515862,0.00652528635387255,0.996386806613002,-2.31715779896512,OnlyComparison,TUBB8,ENSG00000261456,upregulated
O75531,0.621532650891043,-0.901890728276478,1.25989649332913,0.25267753857988,0.996386806613002,-4.74880048387397,OnlyComparison,BANF1,ENSG00000175334,not sig
A6NFI3,0.618409362435869,-1.35353659810964,1.35425599604183,0.222536947566576,0.996386806613002,-4.66441806883188,OnlyComparison,ZNF316,ENSG00000205903,not sig
Q99757,0.597774562755969,-1.59542309012643,1.69023832929638,0.139921393982184,0.996386806613002,-4.3461641843588,OnlyComparison,TXN2,ENSG00000100348,not sig
P21741,0.586184982822545,1.5272833094735,1.08396137671247,0.318388972273347,0.996386806613002,-4.89751550299024,OnlyComparison,MDK,ENSG00000110492,not sig
Q9NQE9,0.568353053540138,-0.527253199903603,1.2831347448772,0.244938652090895,0.996386806613002,-4.72828572804427,OnlyComparison,HINT3,ENSG00000111911,not sig
P04733,0.525943867340628,-0.0827205373895398,1.09054083476296,0.315696593064345,0.996386806613002,-4.89218593354525,OnlyComparison,MT1F,ENSG00000198417,not sig
Q4KMQ2,0.522377463598878,-1.39624019572249,1.35125384599783,0.223444350216645,0.996386806613002,-4.66714516664984,OnlyComparison,ANO6,ENSG00000177119,not sig
Q15643,0.509437994203585,-1.3339565331055,1.5165266967238,0.178188643446292,0.996386806613002,-4.51352484840883,OnlyComparison,TRIP11,ENSG00000100815,not sig
P51808,0.507423817392077,-0.564406907643513,1.25521354217247,0.254262683250166,0.996386806613002,-4.75291224103022,OnlyComparison,DYNLT3,ENSG00000165169,not sig
Q9BQ69,0.501350750243799,-1.43946880093939,1.28563978028336,0.244116957346409,0.996386806613002,-4.72606344861099,OnlyComparison,MACROD1,ENSG00000133315,not sig
P62633,0.500470771077013,0.872712911863289,1.15264023598633,0.29120121047692,0.996386806613002,-4.84094830236707,OnlyComparison,CNBP,ENSG00000169714,not sig
P12235,0.48396995339174,0.48447836330258,1.48916226664277,0.185046608964985,0.996386806613002,-4.53940407213882,OnlyComparison,SLC25A4,ENSG00000151729,not sig
Q8WZ42,0.478785022777298,0.674555188531205,4.06958358860287,0.00602745873295262,0.996386806613002,-2.27164837240674,OnlyComparison,TTN,ENSG00000155657,upregulated
Q9NV92,0.471524978047792,-1.60244108687004,1.64037316723431,0.150022790071034,0.996386806613002,-4.39467292234875,OnlyComparison,NDFIP2,ENSG00000102471,not sig
O60636,0.468205911934399,-0.860313922880584,1.31478047154264,0.234735279727664,0.996386806613002,-4.70006214133228,OnlyComparison,TSPAN2,ENSG00000134198,not sig
P13987,0.463816234282537,-0.848090326413329,1.34866904157145,0.224228261891098,0.996386806613002,-4.66949104854043,OnlyComparison,CD59,ENSG00000085063,not sig
Q9BXS1,0.458136601917319,-0.0528827552635877,1.779827239195,0.123395611403605,0.996386806613002,-4.25832555241592,OnlyComparison,IDI2,ENSG00000148377,not sig
Q13907,0.458136601917319,-0.0528827552635877,1.779827239195,0.123395611403605,0.996386806613002,-4.25832555241592,OnlyComparison,IDI1,ENSG00000067064,not sig
Q92844,0.45777662920195,-1.8576453366956,1.82529073799958,0.115751930897883,0.996386806613002,-4.21349588851061,OnlyComparison,TANK,ENSG00000136560,not sig
Q9UFW8,0.455531721552715,-1.42673320754698,1.16516929573315,0.286457297799206,0.996386806613002,-4.83041358610079,OnlyComparison,CGGBP1,ENSG00000163320,not sig
Q9UMR5,0.454297434467649,-0.8697830226541,2.9769467627839,0.0235324115082938,0.996386806613002,-3.11370075441432,OnlyComparison,PPT2,ENSG00000221988,upregulated
Q96BH1,0.448636261378097,-1.71134931522683,2.1282334512372,0.0755315772516544,0.996386806613002,-3.91341649239255,OnlyComparison,RNF25,ENSG00000163481,not sig
Q8TCZ2,0.444724078686979,-1.42390631289023,1.5422766129574,0.171951983242085,0.996386806613002,-4.48903493462091,OnlyComparison,CD99L2,ENSG00000102181,not sig
Q9H008,0.443897589559062,-1.57138385343458,0.959491788314538,0.372920417906017,0.996386806613002,-4.99443258328794,OnlyComparison,LHPP,ENSG00000107902,not sig
Q86YS7,0.443482461119638,-0.319299527639338,1.42864154685052,0.201088017736278,0.996386806613002,-4.5960515774274,OnlyComparison,C2CD5,ENSG00000111731,not sig
P20933,0.44234838820638,-0.137845473698021,1.08165061809623,0.319339019147591,0.996386806613002,-4.8993826337441,OnlyComparison,AGA,ENSG00000038002,not sig
Q9UKL6,0.430886050300845,-1.72909600000251,1.33913889442661,0.227139825991844,0.996386806613002,-4.67812327846748,OnlyComparison,PCTP,ENSG00000141179,not sig
Q8TD08,0.428280537449096,0.530443374112521,1.13951152176575,0.296242987395356,0.996386806613002,-4.85191792556596,OnlyComparison,MAPK15,ENSG00000181085,not sig
Q15365,0.426378835869772,0.221872702319475,1.27519721866333,0.247558358186773,0.996386806613002,-4.7353135101397,OnlyComparison,PCBP1,ENSG00000169564,not sig
Q96D53,0.404806648850884,-1.17904665159247,1.45388976473821,0.194246602590514,0.996386806613002,-4.57252272842106,OnlyComparison,COQ8B,ENSG00000123815,not sig
Q01658,0.402669674843439,-0.183229845170504,1.19633009852609,0.274942007737388,0.996386806613002,-4.80394080444858,OnlyComparison,DR1,ENSG00000117505,not sig
Q96FZ7,0.398486374591111,-0.451098022213792,1.24835142879233,0.256601101787003,0.996386806613002,-4.75892353908599,OnlyComparison,CHMP6,ENSG00000176108,not sig
Q7RTV0,0.396124031097013,-0.198008722197084,1.41086704894306,0.206035510690172,0.996386806613002,-4.61252129948178,OnlyComparison,PHF5A,ENSG00000100410,not sig
P67775,0.389935511072988,-1.0384196589602,1.06745660868284,0.325225798855134,0.996386806613002,-4.91079795169842,OnlyComparison,PPP2CA,ENSG00000113575,not sig
Q68DC2,0.389426678555225,-1.03305787937609,1.68899892906717,0.140164368052614,0.996386806613002,-4.347373596138,OnlyComparison,ANKS6,ENSG00000165138,not sig
Q9Y324,0.388670075642529,-1.4910185724805,1.71353041487309,0.135429864718339,0.996386806613002,-4.32340355006096,OnlyComparison,FCF1,ENSG00000119616,not sig
P23560,0.383895285815303,-0.0446258145952281,0.645646679446941,0.541457905414365,0.996386806613002,-5.19946518936048,OnlyComparison,BDNF,ENSG00000176697,not sig
Q3ZCW2,0.381424982798672,-0.113629408299404,1.29313698019974,0.241672214033138,0.996386806613002,-4.71940014801544,OnlyComparison,LGALSL,ENSG00000119862,not sig
P04899,0.381120982392641,-0.282103684827353,2.89369178991135,0.0262929520934012,0.996386806613002,-3.18735335360435,OnlyComparison,GNAI2,ENSG00000114353,upregulated
P20337,0.377256094065202,0.187617112338763,1.0349196451487,0.339053544542915,0.996386806613002,-4.93660911714412,OnlyComparison,RAB3B,ENSG00000169213,not sig
Q9C0B5,0.372850862001447,-1.47826177066323,1.07620086099641,0.321588840050057,0.996386806613002,-4.9037764756135,OnlyComparison,ZDHHC5,ENSG00000156599,not sig
Q8IWB7,0.371134873452444,-0.155838585949137,1.38362107634966,0.213834227232389,0.996386806613002,-4.63760788499928,OnlyComparison,WDFY1,ENSG00000085449,not sig
P62873,0.368475262232905,0.437234369506185,1.1900756461614,0.277221129660241,0.996386806613002,-4.80928483005185,OnlyComparison,GNB1,ENSG00000078369,not sig
Q6ZNB6,0.3684226121041,0.0899543502559698,1.53910516913817,0.172708951301095,0.996386806613002,-4.49205808507237,OnlyComparison,NFXL1,ENSG00000170448,not sig
O75380,0.368327754315528,0.00614187951466718,1.39800559626782,0.209684198163647,0.996386806613002,-4.62438797539555,OnlyComparison,NDUFS6,ENSG00000145494,not sig
Q8N3U4,0.363671153084504,-1.04369208812032,1.62930824918294,0.152356843886303,0.996386806613002,-4.40539204304962,OnlyComparison,STAG2,ENSG00000101972,not sig
P07858,0.362188480879324,0.442792160412043,1.60714205814363,0.15713686737192,0.996386806613002,-4.42681169351291,OnlyComparison,CTSB,ENSG00000164733,not sig
Q9Y508,0.362059944639456,-0.577555421507029,1.74230413067362,0.130073203205608,0.996386806613002,-4.29520811480011,OnlyComparison,RNF114,ENSG00000124226,not sig
Q9BUH6,0.35948278432183,-1.09390740725175,1.74588318334717,0.129421428932189,0.996386806613002,-4.29169542094115,OnlyComparison,PAXX,ENSG00000148362,not sig
Q8NDZ4,0.354872842980209,-1.20386364251228,1.39924986016351,0.209328667805996,0.996386806613002,-4.62324184766732,OnlyComparison,DIPK2A,ENSG00000181744,not sig
Q9BY84,0.35452338743173,-1.4851474605191,2.93167270685204,0.0249927093014523,0.996386806613002,-3.15359721748277,OnlyComparison,DUSP16,ENSG00000111266,upregulated
Q96IV0,0.353502167781682,-1.48561214494853,1.88955102690768,0.105735508318277,0.996386806613002,-4.14993645821461,OnlyComparison,NGLY1,ENSG00000151092,not sig
Q8WW59,0.350451828940537,-0.606599831942268,1.08199501950607,0.319197274457206,0.996386806613002,-4.89910450589741,OnlyComparison,SPRYD4,ENSG00000176422,not sig
P48506,0.344948918222592,-0.627844322188279,1.5827575249564,0.162559240261703,0.996386806613002,-4.45028675823916,OnlyComparison,GCLC,ENSG00000001084,not sig
Q13616,0.344864646476896,0.416333795429599,1.0907660072775,0.315604782582523,0.996386806613002,-4.89200319080172,OnlyComparison,CUL1,ENSG00000055130,not sig
Q9Y5L0,0.336890997173298,0.12222842148451,1.82072560235558,0.116498020231518,0.996386806613002,-4.21800340320099,OnlyComparison,TNPO3,ENSG00000064419,not sig
O75818,0.33489093042662,-1.45118064245642,1.1481821334384,0.292905090019429,0.996386806613002,-4.8446812646832,OnlyComparison,RPP40,ENSG00000124787,not sig
Q9HAK2,0.334397733519181,-1.18032843296523,1.15440486610481,0.290529081075468,0.996386806613002,-4.83946843985506,OnlyComparison,EBF2,ENSG00000221818,not sig
P60468,0.333193428210694,0.109190996755403,1.03380975289154,0.339533472400828,0.996386806613002,-4.93748064431464,OnlyComparison,SEC61B,ENSG00000106803,not sig
P62318,0.330696830065907,0.196324221780928,2.17389168365879,0.0708337556947586,0.996386806613002,-3.86834433516526,OnlyComparison,SNRPD3,ENSG00000100028,not sig
Q06136,0.329829310987244,-0.474526915283787,1.09838721982148,0.312510298293153,0.996386806613002,-4.88580465244308,OnlyComparison,KDSR,ENSG00000119537,not sig
Q9NQ88,0.329501907477409,-0.495076951616501,1.44375898150947,0.196965684703548,0.996386806613002,-4.58198205408896,OnlyComparison,TIGAR,ENSG00000078237,not sig
Q9P2L0,0.327057968697719,-2.2595504775889,3.38332876290987,0.0138859208935924,0.996386806613002,-2.77303405693314,OnlyComparison,WDR35,ENSG00000118965,upregulated
